0, -0.001914, 1.500271, -1.000024, 0.958230, 0.001941, -0.001231, -0.011259, 0.000042, 0.004213, -0.001465, 0.003327, -0.006302, 
1, -0.001914, 1.500271, -1.000024, 0.958230, 0.001941, -0.001231, -0.014379, 0.001349, 0.003867, -0.001363, 0.005470, -0.006366, 
2, -0.001914, 1.500271, -1.000024, 0.958230, 0.001941, -0.001231, -0.011256, 0.000559, 0.003748, -0.000745, 0.005086, -0.005919, 
3, -0.001915, 1.500271, -1.000024, 0.958229, 0.001941, -0.001231, -0.011773, 0.000390, 0.003485, -0.000482, 0.004730, -0.005412, 
4, -0.001917, 1.500270, -1.000025, 0.958228, 0.001941, -0.001231, -0.012624, -0.000687, 0.003241, -0.000608, 0.004179, -0.005352, 
5, -0.001918, 1.500270, -1.000025, 0.958227, 0.001941, -0.001232, -0.013096, -0.001347, 0.003014, -0.000565, 0.001147, -0.004969, 
6, -0.001919, 1.500271, -1.000025, 0.958226, 0.001941, -0.001233, -0.012195, 0.000163, 0.002802, -0.000526, 0.000199, -0.009575, 
7, -0.001920, 1.500271, -1.000025, 0.958224, 0.001942, -0.001233, -0.012098, 0.000401, 0.002606, -0.001618, 0.005140, -0.007766, 
8, -0.001921, 1.500272, -1.000025, 0.958224, 0.001942, -0.001233, -0.011334, 0.002724, 0.002423, -0.000704, 0.003077, -0.005789, 
9, -0.001922, 1.500271, -1.000025, 0.958222, 0.001942, -0.001233, -0.010540, 0.002002, 0.003593, -0.001127, 0.002398, -0.003959, 
10, -0.001923, 1.500271, -1.000025, 0.958221, 0.001942, -0.001233, -0.009506, 0.001836, 0.004066, -0.001048, 0.000494, -0.003985, 
11, -0.001924, 1.500271, -1.000025, 0.958220, 0.001942, -0.001233, -0.006825, 0.000831, 0.003781, -0.000814, -0.000046, -0.003706, 
12, -0.001925, 1.500271, -1.000025, 0.958219, 0.001942, -0.001233, -0.006330, 0.000086, 0.003482, -0.000690, -0.000228, -0.002005, 
13, -0.001927, 1.500271, -1.000025, 0.958219, 0.001943, -0.001233, -0.007293, 0.000046, 0.003238, -0.000110, -0.001965, -0.000904, 
14, -0.001927, 1.500271, -1.000025, 0.958218, 0.001944, -0.001233, -0.007009, -0.000555, 0.001789, 0.000226, 0.003018, -0.000689, 
15, -0.001929, 1.500270, -1.000025, 0.958217, 0.001945, -0.001233, -0.007201, -0.001882, 0.000838, 0.000109, 0.004163, 0.000337, 
16, -0.001931, 1.500270, -1.000025, 0.958215, 0.001945, -0.001234, -0.008777, -0.002399, 0.000653, 0.000068, 0.002253, -0.000066, 
17, -0.001932, 1.500270, -1.000025, 0.958214, 0.001946, -0.001235, -0.008162, -0.002719, 0.000607, 0.000063, 0.003090, -0.002412, 
18, -0.001934, 1.500270, -1.000025, 0.958213, 0.001946, -0.001235, -0.007851, -0.003072, 0.000370, 0.000059, 0.001019, -0.001080, 
19, -0.001934, 1.500270, -1.000027, 0.958213, 0.001947, -0.001235, -0.002497, -0.003143, -0.004619, 0.000088, 0.003535, 0.000218, 
20, -0.001935, 1.500270, -1.000027, 0.958212, 0.001946, -0.001236, -0.003047, -0.001280, -0.004295, 0.000082, -0.001053, -0.001955, 
21, -0.001936, 1.500270, -1.000026, 0.958211, 0.001946, -0.001236, -0.003094, -0.001666, -0.004795, 0.000076, -0.001594, 0.000938, 
22, -0.001938, 1.500270, -1.000026, 0.958210, 0.001945, -0.001237, -0.002877, -0.001958, -0.004484, 0.000121, -0.004811, -0.001850, 
23, -0.001939, 1.500270, -1.000026, 0.958210, 0.001945, -0.001237, -0.002676, -0.001909, -0.004169, 0.000821, -0.005561, -0.001122, 
